username,scenario,choice,timestamp,A_age,B_age,A_years_waiting,B_years_waiting,A_health_score,B_health_score,A_dependents,B_dependents,A_prior_transplants,B_prior_transplants,A_urgency_score,B_urgency_score
Achintya,1,B,2026-07-11T10:10:08.808946,28.0,55.0,2.0,9.0,8.0,7.0,1.0,2.0,0.0,0.0,6.0,7.0
Achintya,2,A,2026-07-11T10:10:12.419347,40.0,42.0,3.0,7.0,9.0,6.0,2.0,1.0,0.0,0.0,5.0,8.0
Achintya,3,A,2026-07-11T10:10:14.545093,35.0,38.0,4.0,5.0,7.0,7.0,4.0,1.0,0.0,0.0,6.0,9.0
Achintya,3,A,2026-07-11T10:10:14.857777,35.0,38.0,4.0,5.0,7.0,7.0,4.0,1.0,0.0,0.0,6.0,9.0
Achintya,4,B,2026-07-11T10:10:16.219417,45.0,40.0,6.0,8.0,8.0,9.0,2.0,3.0,0.0,1.0,7.0,8.0
Achintya,5,A,2026-07-11T10:10:17.125840,38.0,40.0,5.0,5.0,7.0,8.0,2.0,2.0,0.0,0.0,7.0,7.0
Achintya,6,A,2026-07-11T10:10:17.902673,30.0,52.0,2.0,4.0,8.0,6.0,3.0,0.0,0.0,0.0,6.0,9.0
Achintya,7,B,2026-07-11T10:10:18.885574,50.0,35.0,10.0,3.0,6.0,9.0,1.0,4.0,0.0,0.0,8.0,7.0
Achintya,8,B,2026-07-11T10:10:20.685687,48.0,60.0,7.0,6.0,7.0,6.0,2.0,0.0,1.0,0.0,8.0,7.0
Achintya,9,A,2026-07-11T10:10:21.589266,42.0,44.0,1.0,11.0,5.0,7.0,2.0,1.0,0.0,0.0,10.0,5.0
Achintya,10,B,2026-07-11T10:10:22.725971,25.0,62.0,4.0,4.0,7.0,7.0,1.0,1.0,0.0,0.0,7.0,7.0
Achintya,11,B,2026-07-11T10:10:23.521198,40.0,40.0,1.0,10.0,7.0,7.0,2.0,2.0,0.0,0.0,7.0,7.0
Achintya,12,B,2026-07-11T10:10:24.037849,45.0,45.0,5.0,5.0,9.0,4.0,2.0,2.0,0.0,0.0,6.0,6.0
Achintya,13,B,2026-07-11T10:10:24.772329,30.0,58.0,8.0,2.0,9.0,4.0,3.0,0.0,0.0,2.0,9.0,3.0
Achintya,14,B,2026-07-11T10:10:25.629611,65.0,28.0,1.0,9.0,4.0,9.0,0.0,4.0,2.0,0.0,3.0,9.0
Achintya,15,B,2026-07-11T10:10:26.724504,55.0,30.0,2.0,6.0,5.0,8.0,0.0,2.0,1.0,0.0,10.0,4.0
Achintya,16,B,2026-07-11T10:10:27.818748,25.0,68.0,3.0,5.0,8.0,6.0,4.0,0.0,0.0,0.0,7.0,6.0
Achintya,17,B,2026-07-11T10:10:28.835247,29.0,50.0,2.0,8.0,8.0,7.0,3.0,1.0,0.0,0.0,6.0,9.0
Achintya,18,B,2026-07-11T10:10:29.892882,40.0,40.0,9.0,2.0,5.0,9.0,3.0,1.0,1.0,0.0,9.0,5.0
Achintya,18,B,2026-07-11T10:10:30.094259,40.0,40.0,9.0,2.0,5.0,9.0,3.0,1.0,1.0,0.0,9.0,5.0
Achintya,19,B,2026-07-11T10:10:31.633286,35.0,38.0,7.0,6.0,8.0,7.0,2.0,3.0,1.0,1.0,8.0,7.0
Achintya,19,B,2026-07-11T10:10:32.146325,35.0,38.0,7.0,6.0,8.0,7.0,2.0,3.0,1.0,1.0,8.0,7.0
Achintya,20,B,2026-07-11T10:10:33.264588,42.0,43.0,12.0,1.0,7.0,7.0,2.0,2.0,0.0,0.0,4.0,10.0
